pharmacyName,town,cordinates,streetAdress,phoneNumber,type
Pharmacie BEN JEMAA LAMIA,CITE MHIRI,"36.859683,10.165772",Rce NARJESS - EL AOUINA TUNIS CITE MHIRI,58399671,NIGHT
Pharmacie BACCOUCHE BECHIR,AKOUDA,"35.865832,10.569202",Av DE LA REPUBLIQUE SOUSSE AKOUDA,73256106,NIGHT
Pharmacie KENANI RAMZI,ENFIDHA,"36.131947,10.569202",Av DE L'ENVIRONNEMENT SOUSSE ENFIDHA,73250412,NIGHT
Pharmacie BLEL SAIDA,EZZOUHOUR,"35.788325,10.569202","107, Av 14 JANVIER SOUSSE EZZOUHOUR",73310504,NIGHT
Pharmacie MEDDEB ABDELHAMID,HAMMAM SOUSSE,"35.856640,10.569202",Rte DE TUNIS SOUSSE HAMMAM SOUSSE,73365457,NIGHT
Pharmacie LEJMI MOHAMED ALI,HERGLA,"36.028330,10.569202",Rue HANNIBAL SOUSSE HERGLA,73251735,NIGHT
Pharmacie SAKKA NAWEL,KALAA EL KEBIRA,"35.869297,10.569202",Rue DU 1er JUIN SOUSSE KALAA EL KEBIRA,73253248,NIGHT
Pharmacie DIMASSI SALMA,KALAA ESSGHIRA,"35.822968,10.569202",Av HABIB BOURGUIBA SOUSSE KALAA ESSGHIRA,73249245,NIGHT
Pharmacie BELHAJ JRAD MOHAMED TAHAR,KONDAR,"35.934788,10.569202",GP 2 SOUSSE KONDAR,73389753,NIGHT
Pharmacie LAHMAR AFEF,KSIBET SOUSSE,"35.774554,10.569202",Av HABIB BOURGUIBA SOUSSE KSIBET SOUSSE,73390340,NIGHT
Pharmacie MASMOUDI MOHAMED SABER,MESSADINE,"35.75789392,10.569202",Av DU 14 JANVIER SOUSSE MESSADINE,73323887,NIGHT
Pharmacie BEN MOUSSA MUSTAPHA,MSAKEN,"35.730303,10.577882",125 Av HABIB BOURGUIBA SOUSSE MSAKEN,73259027,NIGHT
Pharmacie SAKLI ABDALLAH,MSAKEN,"35.73506392,10.577882",Av TAIEB HACHICHA SOUSSE MSAKEN,73261500,NIGHT
Pharmacie BRAHEM MSELMI AIDA,RIADH,"35.808157,10.577882",Rue IBN ABI BALTAA. Imm EL HOUDA SOUSSE RIADH,73307980,NIGHT
Pharmacie BOUHAFA BEN ROMDHANE LAMIA,SIDI BOU ALI,"35.955617,10.577882","33, Av HABIB BOURGUIBA SOUSSE SIDI BOU ALI",73247138,NIGHT
Pharmacie BEN ELHENI IMENE,SIDI EL HENI,"35.681101,10.577882",Rte NATIONALE 12 SOUSSE SIDI EL HENI,73280206,NIGHT
Pharmacie HAMDI LEILA,SOUSSE VILLE,"35.814151,10.577882",Av 15 OCTOBRE SOUSSE SOUSSE VILLE,73232920,NIGHT
Pharmacie KHELIFA NEJI,SOUSSE VILLE,"35.831541,10.577882",38 Av DE LA REPUBLIQUE SOUSSE SOUSSE VILLE,73224795,NIGHT
Pharmacie BEN MEDDEB ABDELLATIF,SOUSSE VILLE,"35.833373,10.577882","11, Rue MOHAMED EL KAROUI SOUSSE SOUSSE VILLE",73228619,NIGHT
Pharmacie DRISS BOUZID DHOUHA,YASMINE HAMMAMET,"36.363257,10.577882",Av DE LA MEDINA SOUSSE YASMINE HAMMAMET,72241242,NIGHT
Pharmacie OUESLATI IMED,ZAOUIET SOUSSE,"35.798200,10.577882",Bd IMAM ABOU HANIFA SOUSSE ZAOUIET SOUSSE,73304917,NIGHT
Pharmacie AMRI  WASSIM,CHATT MERIEM,"35.935297,10.325388",CHOTT MERIEM SOUSSE CHATT MERIEM,31555582,NIGHT
